"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 09 20:19:56 UTC 2025","Tue Dec 09 20:19:56 UTC 2025","293","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.ProductsTests","com.gomseliniti.tests.ProductsTests","testViewProductsList","testViewProductsList","PT-TC-001: View products list"
"passed","Tue Dec 09 20:19:57 UTC 2025","Tue Dec 09 20:19:58 UTC 2025","812","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.ProductsTests","com.gomseliniti.tests.ProductsTests","testSearchForNonExistentProduct","testSearchForNonExistentProduct","PT-TC-004: Search for a non-existent product"
"passed","Tue Dec 09 20:19:46 UTC 2025","Tue Dec 09 20:19:46 UTC 2025","581","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.AuthTests","com.gomseliniti.tests.AuthTests","testRegistrationWithExistingEmail","testRegistrationWithExistingEmail","AT-TC-002: Registration with existing email"
"passed","Tue Dec 09 20:19:46 UTC 2025","Tue Dec 09 20:19:47 UTC 2025","495","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.AuthTests","com.gomseliniti.tests.AuthTests","testRegistrationWithInvalidEmail","testRegistrationWithInvalidEmail","AT-TC-003: Registration with invalid email"
"passed","Tue Dec 09 20:20:07 UTC 2025","Tue Dec 09 20:20:09 UTC 2025","1707","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.OrderTests","com.gomseliniti.tests.OrderTests","testCheckoutPromptAppears","testCheckoutPromptAppears","OT-TC-001: Verify that clicking checkout button shows the checkout prompt"
"skipped","Tue Dec 09 20:20:12 UTC 2025","Tue Dec 09 20:20:12 UTC 2025","1","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.OrderTests","com.gomseliniti.tests.OrderTests","testBuyNowFunctionality","testBuyNowFunctionality","OT-TC-007: Verify clicking Buy Now takes user directly to checkout"
"passed","Tue Dec 09 20:19:48 UTC 2025","Tue Dec 09 20:19:54 UTC 2025","6669","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.AuthTests","com.gomseliniti.tests.AuthTests","testLoginWithIncorrectPassword","testLoginWithIncorrectPassword","AT-TC-006: Login with incorrect password"
"skipped","Tue Dec 09 20:20:12 UTC 2025","Tue Dec 09 20:20:12 UTC 2025","0","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.OrderTests","com.gomseliniti.tests.OrderTests","testCancelPendingOrder","testCancelPendingOrder","OT-TC-006: Verify a pending order can be cancelled"
"passed","Tue Dec 09 20:19:56 UTC 2025","Tue Dec 09 20:19:56 UTC 2025","463","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.AuthTests","com.gomseliniti.tests.AuthTests","testSuccessfulLogout","testSuccessfulLogout","AT-TC-011: Successful user logout"
"passed","Tue Dec 09 20:19:55 UTC 2025","Tue Dec 09 20:19:56 UTC 2025","157","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.AuthTests","com.gomseliniti.tests.AuthTests","testLoginWithEmptyCredentials","testLoginWithEmptyCredentials","AT-TC-010: Login with empty credentials"
"failed","Tue Dec 09 20:20:06 UTC 2025","Tue Dec 09 20:20:07 UTC 2025","785","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.CartTests","com.gomseliniti.tests.CartTests","testCartDetailsAreVisible","testCartDetailsAreVisible","CT-TC-002: Verify cart page shows product name, price, quantity and total after adding an item"
"passed","Tue Dec 09 20:19:58 UTC 2025","Tue Dec 09 20:19:58 UTC 2025","344","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.ProductsTests","com.gomseliniti.tests.ProductsTests","testFilterProductsByCategory","testFilterProductsByCategory","PT-TC-005: Filter products by category"
"passed","Tue Dec 09 20:19:47 UTC 2025","Tue Dec 09 20:19:48 UTC 2025","558","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.AuthTests","com.gomseliniti.tests.AuthTests","testSuccessfulLogin","testSuccessfulLogin","AT-TC-005: Successful user login"
"skipped","Tue Dec 09 20:20:06 UTC 2025","Tue Dec 09 20:20:06 UTC 2025","0","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.ProductsTests","com.gomseliniti.tests.ProductsTests","testLikeCountForProduct","testLikeCountForProduct","PT-TC-0010: Verify product like Counter when leave the page will fail or not"
"passed","Tue Dec 09 20:19:55 UTC 2025","Tue Dec 09 20:19:55 UTC 2025","192","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.AuthTests","com.gomseliniti.tests.AuthTests","testLoginWithEmptyEmail","testLoginWithEmptyEmail","AT-TC-08: Login with empty email"
"skipped","Tue Dec 09 20:20:12 UTC 2025","Tue Dec 09 20:20:12 UTC 2025","1","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.OrderTests","com.gomseliniti.tests.OrderTests","testFilterOrdersByStatus","testFilterOrdersByStatus","OT-TC-005: Verify orders can be filtered by status (e.g., Pending)"
"passed","Tue Dec 09 20:19:59 UTC 2025","Tue Dec 09 20:19:59 UTC 2025","341","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.ProductsTests","com.gomseliniti.tests.ProductsTests","testProductPagination","testProductPagination","PT-TC-007: Verify product pagination"
"passed","Tue Dec 09 20:19:55 UTC 2025","Tue Dec 09 20:19:55 UTC 2025","193","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.AuthTests","com.gomseliniti.tests.AuthTests","testLoginWithEmptyPassword","testLoginWithEmptyPassword","AT-TC-09: Login with empty password"
"passed","Tue Dec 09 20:19:57 UTC 2025","Tue Dec 09 20:19:57 UTC 2025","331","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.ProductsTests","com.gomseliniti.tests.ProductsTests","testSearchForProduct","testSearchForProduct","PT-TC-003: Search for a product"
"passed","Tue Dec 09 20:20:09 UTC 2025","Tue Dec 09 20:20:12 UTC 2025","2696","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.OrderTests","com.gomseliniti.tests.OrderTests","testPlaceOrderWithValidAddress","testPlaceOrderWithValidAddress","OT-TC-002: Verify order is placed successfully with valid shipping information"
"skipped","Tue Dec 09 20:20:07 UTC 2025","Tue Dec 09 20:20:07 UTC 2025","1","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.CartTests","com.gomseliniti.tests.CartTests","testUpdateCartQuantity","testUpdateCartQuantity","CT-TC-003: Verify updating a product quantity recalculates totals"
"passed","Tue Dec 09 20:19:58 UTC 2025","Tue Dec 09 20:19:59 UTC 2025","536","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.ProductsTests","com.gomseliniti.tests.ProductsTests","testFilterProductsByPrice","testFilterProductsByPrice","PT-TC-006: Filter products by price"
"passed","Tue Dec 09 20:19:47 UTC 2025","Tue Dec 09 20:19:47 UTC 2025","440","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.AuthTests","com.gomseliniti.tests.AuthTests","testRegistrationWithShortPassword","testRegistrationWithShortPassword","AT-TC-004: Registration with short password"
"skipped","Tue Dec 09 20:20:07 UTC 2025","Tue Dec 09 20:20:07 UTC 2025","0","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.CartTests","com.gomseliniti.tests.CartTests","testRemoveProductFromCart","testRemoveProductFromCart","CT-TC-004: Verify removing a cart item updates cart content and badge"
"passed","Tue Dec 09 20:19:55 UTC 2025","Tue Dec 09 20:19:55 UTC 2025","471","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.AuthTests","com.gomseliniti.tests.AuthTests","testLoginWithUnregisteredEmail","testLoginWithUnregisteredEmail","AT-TC-07: Login with unregistered email"
"passed","Tue Dec 09 20:20:12 UTC 2025","Tue Dec 09 20:20:13 UTC 2025","602","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.AdvancedSearchTests","com.gomseliniti.tests.AdvancedSearchTests","testCompleteAdvancedSearchForm","testCompleteAdvancedSearchForm","AST-TC-001: Complete Advanced Search Form"
"passed","Tue Dec 09 20:19:56 UTC 2025","Tue Dec 09 20:19:57 UTC 2025","366","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.ProductsTests","com.gomseliniti.tests.ProductsTests","testViewProductDetails","testViewProductDetails","PT-TC-002: View product details"
"passed","Tue Dec 09 20:20:13 UTC 2025","Tue Dec 09 20:20:14 UTC 2025","629","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.AdvancedSearchTests","com.gomseliniti.tests.AdvancedSearchTests","testClearAdvancedSearchForm","testClearAdvancedSearchForm","AST-TC-002: Clear Advanced Search Form"
"broken","Tue Dec 09 20:19:59 UTC 2025","Tue Dec 09 20:20:06 UTC 2025","6504","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.ProductsTests","com.gomseliniti.tests.ProductsTests","testLikeAndUnlikeProduct","testLikeAndUnlikeProduct","PT-TC-008 & PT-TC-009: Verify product like and unlike functionality"
"skipped","Tue Dec 09 20:20:12 UTC 2025","Tue Dec 09 20:20:12 UTC 2025","1","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.OrderTests","com.gomseliniti.tests.OrderTests","testViewOrderHistory","testViewOrderHistory","OT-TC-004: Verify user can navigate to My Orders page and view order history"
"failed","Tue Dec 09 20:20:12 UTC 2025","Tue Dec 09 20:20:12 UTC 2025","872","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.OrderTests","com.gomseliniti.tests.OrderTests","testPlaceOrderWithEmptyAddress","testPlaceOrderWithEmptyAddress","OT-TC-003: Verify order is not placed when shipping address is empty"
"passed","Tue Dec 09 20:20:06 UTC 2025","Tue Dec 09 20:20:06 UTC 2025","707","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.CartTests","com.gomseliniti.tests.CartTests","testAddProductToCart","testAddProductToCart","CT-TC-001: Verify that a product can be added to the cart via product details page"
"passed","Tue Dec 09 20:19:42 UTC 2025","Tue Dec 09 20:19:46 UTC 2025","3671","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.AuthTests","com.gomseliniti.tests.AuthTests","testSuccessfulRegistration","testSuccessfulRegistration","AT-TC-001: Successful user registration"
"skipped","Tue Dec 09 20:20:07 UTC 2025","Tue Dec 09 20:20:07 UTC 2025","1","ITI E-Commerce Test Suite","All Function Tests","com.gomseliniti.tests.CartTests","com.gomseliniti.tests.CartTests","testClearEntireCart","testClearEntireCart","CT-TC-005: Verify Clear Cart removes all products and resets totals"
